"","title_id","primaryTitle","year","name_id","primaryName","job_title","budget_2013.","domgross_2013.","intgross_2013.","isAdult","runtimeMinutes","genres","averageRating","numVotes","test","clean_test","binary"
"1","tt1711425","21 & Over",2013,"nm0961727","Hugo Shong","producer",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"2","tt1711425","21 & Over",2013,"nm1886602","Miles Teller","actor",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"3","tt1711425","21 & Over",2013,"nm2014390","Justin Chon","actor",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"4","tt1711425","21 & Over",2013,"nm1947831","Jonathan Keltz","actor",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"5","tt1711425","21 & Over",2013,"nm0942792","Sarah Wright","actress",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"6","tt1711425","21 & Over",2013,"nm0524190","Jon Lucas","director",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"7","tt1711425","21 & Over",2013,"nm0601859","Scott Moore","director",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"8","tt1711425","21 & Over",2013,"nm0387674","David Hoberman","producer",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"9","tt1711425","21 & Over",2013,"nm1448916","Ryan Kavanaugh","producer",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"10","tt1711425","21 & Over",2013,"nm0509414","Todd Lieberman","producer",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"11","tt1711425","21 & Over",2013,"nm0524190,nm0601859",NA,"director",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"12","tt1711425","21 & Over",2013,"nm0524190,nm0601859",NA,"writer",13000000,"25682380","42195766","0","93","Comedy",5.8,75849,"notalk","notalk","FAIL"
"13","tt1343727","Dredd",2012,NA,NA,NA,45658735,"13611086","41467257","0","95","Action,Crime,Sci-Fi",7.1,281224,"ok-disagree","ok","PASS"
"14","tt1343727","Dredd",2012,"nm0871428","Pete Travis","director",45658735,"13611086","41467257","0","95","Action,Crime,Sci-Fi",7.1,281224,"ok-disagree","ok","PASS"
"15","tt1343727","Dredd",2012,"nm0905957,nm0264338,nm0307497",NA,"writer",45658735,"13611086","41467257","0","95","Action,Crime,Sci-Fi",7.1,281224,"ok-disagree","ok","PASS"
"16","tt2024544","12 Years a Slave",2013,NA,NA,NA,20000000,"53107035","158607035","0","134","Biography,Drama,History",8.1,712884,"notalk-disagree","notalk","FAIL"
"17","tt2024544","12 Years a Slave",2013,"nm2588606","Steve McQueen","director",20000000,"53107035","158607035","0","134","Biography,Drama,History",8.1,712884,"notalk-disagree","notalk","FAIL"
"18","tt2024544","12 Years a Slave",2013,"nm0725983,nm1185849",NA,"writer",20000000,"53107035","158607035","0","134","Biography,Drama,History",8.1,712884,"notalk-disagree","notalk","FAIL"
"19","tt1272878","2 Guns",2013,"nm0298915","George Furla","producer",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"20","tt1272878","2 Guns",2013,"nm0000243","Denzel Washington","actor",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"21","tt1272878","2 Guns",2013,"nm0000242","Mark Wahlberg","actor",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"22","tt1272878","2 Guns",2013,"nm1745736","Paula Patton","actress",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"23","tt1272878","2 Guns",2013,"nm0000200","Bill Paxton","actor",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"24","tt1272878","2 Guns",2013,"nm0466349","Baltasar Kormákur","director",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"25","tt1272878","2 Guns",2013,"nm1398578","Blake Masters","writer",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"26","tt1272878","2 Guns",2013,"nm1556427","Steven Grant","writer",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"27","tt1272878","2 Guns",2013,"nm1184676","Andrew Cosby","producer",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"28","tt1272878","2 Guns",2013,"nm0256542","Randall Emmett","producer",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"29","tt1272878","2 Guns",2013,"nm1398578,nm1556427",NA,"writer",61000000,"75612460","132493015","0","109","Action,Thriller",6.7,217743,"notalk","notalk","FAIL"
"30","tt0453562","42",2013,NA,NA,NA,40000000,"95020213","95020213","0","128","Biography,Drama,Sport",7.5,98012,"men","men","FAIL"
"31","tt0453562","42",2013,"nm0001338","Brian Helgeland","director",40000000,"95020213","95020213","0","128","Biography,Drama,Sport",7.5,98012,"men","men","FAIL"
"32","tt0453562","42",2013,"nm0001338","Brian Helgeland","writer",40000000,"95020213","95020213","0","128","Biography,Drama,Sport",7.5,98012,"men","men","FAIL"
"33","tt1335975","47 Ronin",2013,"nm0572805","Eric McLeod","producer",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
"34","tt1335975","47 Ronin",2013,"nm0000206","Keanu Reeves","actor",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
"35","tt1335975","47 Ronin",2013,"nm0760796","Hiroyuki Sanada","actor",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
"36","tt1335975","47 Ronin",2013,"nm0793069","Ko Shibasaki","actress",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
"37","tt1335975","47 Ronin",2013,"nm0038355","Tadanobu Asano","actor",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
"38","tt1335975","47 Ronin",2013,"nm0727754","Carl Rinsch","director",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
"39","tt1335975","47 Ronin",2013,"nm0604555","Chris Morgan","writer",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
"40","tt1335975","47 Ronin",2013,"nm0024925","Hossein Amini","writer",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
"41","tt1335975","47 Ronin",2013,"nm1023578","Walter Hamada","writer",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
"42","tt1335975","47 Ronin",2013,"nm0008330","Pamela Abdy","producer",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
"43","tt1335975","47 Ronin",2013,"nm0604555,nm0024925,nm1023578",NA,"writer",225000000,"38362475","145803842","0","128","Action,Drama,Fantasy",6.2,164261,"men","men","FAIL"
